,id,academy_id,school_type,grade,status
261622,I381294,D13334,3,3,0
261623,I381295,D13334,3,3,0
261624,I381296,D13334,3,3,0
261625,I381297,D13334,3,3,0
261626,I381298,D13334,3,3,0
261627,I381299,D13334,3,3,0
261628,I3813,D0251,3,3,2
261630,I381300,D13334,3,3,0
261631,I381301,D13334,3,3,0
261632,I381302,D13334,3,3,0
261633,I381303,D13334,3,3,0
261634,I381304,D13334,3,3,0
261635,I381305,D13334,3,3,0
261636,I381306,D13334,3,3,0
261637,I381307,D13334,3,3,0
261638,I381308,D13334,3,3,0
261639,I381309,D13334,3,3,0
261640,I38131,D2089,3,3,2
261641,I381310,D13334,3,3,0
261642,I381311,D13334,3,3,0
261643,I381312,D13334,3,3,0
261644,I381313,D13334,3,3,0
261645,I381314,D13334,3,3,0
261646,I381315,D13334,3,3,0
261647,I381316,D13334,3,3,0
261648,I381317,D13334,3,3,0
261649,I381318,D13334,3,3,0
261650,I381319,D13334,3,3,0
261652,I381320,D13334,3,3,0
261653,I381321,D13334,3,3,0
261654,I381322,D13334,3,3,0
261655,I381323,D13334,3,3,0
261656,I381324,D13334,3,3,0
261657,I381325,D13334,3,3,0
261658,I381326,D13334,3,3,0
261659,I381327,D13334,3,3,0
261660,I381328,D13334,3,3,0
261661,I381329,D13334,3,3,0
261662,I38133,D1817,3,3,2
261663,I381330,D13334,3,3,0
261664,I381331,D13334,3,3,0
261665,I381332,D13334,3,3,0
261666,I381333,D13334,3,3,0
261667,I381334,D13334,3,3,0
261668,I381335,D13334,3,3,0
261669,I381336,D13334,3,3,0
261670,I381337,D13334,3,3,0
261671,I381338,D13334,3,3,0
261672,I381339,D13334,3,3,0
261673,I38134,D0004,3,3,1
261674,I381340,D13334,3,3,0
261675,I381341,D13334,3,3,0
261676,I381342,D13334,3,3,0
261677,I381343,D13334,3,3,0
261678,I381344,D13334,3,3,0
261679,I381345,D13334,3,3,0
261680,I381346,D13334,3,3,0
261681,I381347,D13334,3,3,0
261682,I381348,D13334,3,3,0
261683,I381349,D13334,3,3,0
261684,I38135,D1625,3,3,2
261685,I381350,D13334,3,3,0
261686,I381351,D13334,3,3,0
261687,I381352,D13334,3,3,0
261688,I381353,D13334,3,3,0
261689,I381354,D13334,3,3,0
261690,I381355,D13334,3,3,0
261691,I381356,D13334,3,3,0
261692,I381357,D13334,3,3,0
261693,I381358,D13334,3,3,0
261694,I381359,D13334,3,3,0
261695,I38136,D1557,3,3,1
261696,I381360,D13334,3,3,0
261697,I381361,D13334,3,3,0
261698,I381362,D13334,3,3,0
261699,I381363,D13334,3,3,0
261700,I381364,D13334,3,3,0
261701,I381365,D13334,3,3,0
261702,I381366,D13334,3,3,0
261703,I381367,D13334,3,3,0
261704,I381368,D13334,3,3,0
261705,I381369,D13334,3,3,0
261706,I38137,D1625,3,3,2
261707,I381370,D13334,3,3,0
261708,I381371,D13334,3,3,0
261709,I381372,D13334,3,3,0
261710,I381373,D13334,3,3,0
261711,I381374,D13334,3,3,0
261712,I381375,D13334,3,3,0
261713,I381376,D13334,3,3,0
261714,I381377,D13334,3,3,0
261715,I381378,D13334,3,3,0
261716,I381379,D13334,3,3,0
261717,I38138,D1625,3,3,2
261718,I381380,D13334,3,3,0
261719,I381381,D13334,3,3,0
261720,I381382,D13334,3,3,0
261721,I381383,D13334,3,3,0
261722,I381384,D13334,3,3,0
261723,I381385,D13334,3,3,0
261724,I381386,D13334,3,3,0
261725,I381387,D13334,3,3,0
261726,I381388,D13334,3,3,0
261727,I381389,D13334,3,3,0
261728,I38139,D1469,3,3,1
261729,I381390,D13334,3,3,0
261730,I381391,D13334,3,3,0
261731,I381392,D13334,3,3,0
261732,I381393,D13334,3,3,0
261733,I381394,D13334,3,3,0
261734,I381395,D13334,3,3,0
261735,I381396,D13334,3,3,0
261736,I381397,D13334,3,3,0
261737,I381398,D13334,3,3,0
261738,I381399,D13334,3,3,0
261739,I3814,D0251,3,3,2
261741,I381400,D13334,3,3,0
261742,I381401,D13334,3,3,0
261743,I381402,D13334,3,3,0
261744,I381403,D13334,3,3,0
261745,I381404,D13334,3,3,0
261746,I381405,D13334,3,3,0
261747,I381406,D13334,3,3,0
261748,I381407,D13334,3,3,0
261749,I381408,D13334,3,3,0
261750,I381409,D13334,3,3,0
261751,I38141,D1828,3,3,1
261752,I381410,D13334,3,3,0
261753,I381411,D13334,3,3,0
261754,I381412,D13334,3,3,0
261755,I381413,D13334,3,3,0
261756,I381414,D13334,3,3,0
261757,I381415,D13334,3,3,0
261758,I381416,D13334,3,3,0
261759,I381417,D13334,3,3,0
261760,I381418,D13334,3,3,0
261761,I381419,D13334,3,3,0
261762,I38142,D1949,3,3,2
261763,I381420,D13334,3,3,0
261764,I381421,D13334,3,3,0
261765,I381422,D13334,3,3,0
261766,I381423,D13334,3,3,0
261767,I381424,D13334,3,3,0
261768,I381425,D13334,3,3,0
261769,I381426,D13334,3,3,0
261770,I381427,D13334,3,3,0
261771,I381428,D13334,3,3,0
261772,I381429,D13334,3,3,0
261773,I38143,D1692,3,3,2
261774,I381430,D13334,3,3,0
261775,I381431,D13334,3,3,0
261776,I381432,D13334,3,3,0
261777,I381433,D13334,3,3,0
261778,I381434,D13334,3,3,0
261779,I381435,D13334,3,3,0
261780,I381436,D13334,3,3,0
261781,I381437,D13334,3,3,0
261782,I381438,D13334,3,3,0
